"Name","Runtime","Notes","BACKBONE","BACTHSIZE","CENTER","CoarseDropout","DATA_PATH","DESCRIPTION","EPOCHS","FOLD","HOP_LENGTH","HorizontalFlip","IMAGE_SIZE","LABEL_SMOOTHING","LOAD_SPEC_DATA","LOSS","MAX_FREQ","MEL_SCALE","MIN_FREQ","MixUp","NORM","NORMALIZED","N_FFT","N_MEL","ONESIDED","PAD_MODE","SAMPLE_RATE","SECOND_LABEL","SEED","VERSION","WIN_LAP","WIN_SIZE","XYMasking","Family Loss","Family Training Loss","Family Valid Loss","Learning Rate","Order Loss","Order Training Loss","Order Valid Loss","Species Loss","Species Training Loss","Species Valid Loss","Training Loss","Valid Loss","Valid ROC_AUC"
"VERSION: v3.7","29951","-","tf_efficientnet_b0.in1k","48","true","true","inputs","Add GeM pooling","10","5","512","true","256","0","[""data/melspec_googletop5_256_256_24_wide.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","","constant","32000","1","24","v3.7","100","412","true","","","","6.843303222205887e-10","","","","","","","0.5361189559102059","1.6012003898620606","0.9722918280186308"
"VERSION: v3.6","30481","-","tf_efficientnet_b0.in1k","48","true","true","inputs","top 5 google with stride 1s","10","5","512","true","256","0","[""data/melspec_googletop5_256_256_24_wide.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","","constant","32000","1","24","v3.6","100","412","true","","","","6.843303222205887e-10","","","","","","","0.428825318813324","1.499104976654053","0.9757801101679044"
"VERSION: v3.5","13656","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s","15","2","512","true","256","0","[""data/melspec_googletop5_256_256_24_wide.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","","constant","32000","1","24","v3.5","100","412","true","","","","6.805475421169394e-10","","","","","","","0.002175547178467241","1.719297468662262","0.9627466917276004"
"VERSION: v3.4","13922","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s","15","2","512","true","256","0","[""data/spec_googletop5_256_256_24_wide.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v3.4","100","412","true","","","","6.805475421169394e-10","","","","","","","0.028944490474032136","1.6889042258262634","0.9664381052964262"
"VERSION: v3.3","2479","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s","5","1","512","true","256","0","[""data/melspec_google1s_5sectop5_256_256_3_24.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v3.3","100","412","true","","","","7.06026992782092e-10","","","","","","","0.022959756664931778","0.023678341880440712","0.9222539185374123"
"VERSION: v3.2","42608","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s","10","5","512","true","256","0","[""data/melspec_google1s_5sectop5_256_256_3_24.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v3.2","100","412","true","","","","6.804024503030987e-10","","","","","","","0.006296834960812703","0.0015825049486011267","0.9977727480126339"
"VERSION: v3.1","42404","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 1 google with stride 1s","10","1","512","true","256","0","[""data/melspec_google1s_5sectop5_256_256_3_24.npy""]","FocalLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v3.1","100","412","true","","","","0.00008485406064581623","","","","","","","0.015912962146103382","0.015817508101463318","0.9728599631217163"
"VERSION: v3.0","14720","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s","10","1","512","true","256","0","[""data/melspec_google1s_5sectop5_256_256_3_24.npy""]","CrossEntropyLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v3.0","100","412","true","","","","6.865067484432404e-10","","","","","","","0.008076198399066925","0.017504006624221802","0.961402212683536"
"VERSION: v2.9","9205","-","tf_efficientnet_b0.in1k","16","true","false","inputs","top 5 google with stride 1s, add gem pooling ","10","1","512","true","256","0","[""data/melspec_google1s_5sectop5_256_256_3_24.npy""]","CrossEntropyLoss","16000","slaney","20","true","slaney","true","2048","128","true","constant","32000","1","24","v2.9","100","412","true","","","","6.865067484432404e-10","","","","","","","0.01273990049958229","0.016473351046442986","0.963322655193564"
"VERSION: v2.8","15868","-","","16","","false","inputs","top 5 google with stride 1s, add gem pooling ","10","1","320","true","","0","[""data/spec_google1s_5sectop5_256_256_24.npy""]","CrossEntropyLoss","15000","","40","true","","","1024","128","","","32000","1","24","v2.8","100","412","true","","","","6.805478191736525e-10","","","","","","","0.4757746756076813","1.1094787120819092","0.9767259108427254"
